"transportModel","caseName","photonBand","rInner","rOuter","amp","absorbCount","absorbRate","silhouetteRadiusMean","hitRate","steeringSummary","fingerprintHash","stdoutLog","stderrLog"
"GRIN_Optical","baseline","ON","1.305","1.845","0.03","4","0.25","0.141421","0","transportModel=GRIN_Optical metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.000501 maxTurn=0.006579 radialBins=[r<0.5R:0.001028@1256,0.5R-1R:0.000001@556,1R-2R:0@768,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","0de3950efc60b606123cc73add80085be8c56b00f1385a4b309fa052e3c3ae3e","logs\photon_band_sweep_grin_baseline.log","logs\photon_band_sweep_grin_baseline.err.log"
"GRIN_Optical","narrower_band","ON","1.305","1.6","0.03","4","0.25","0.141421","0","transportModel=GRIN_Optical metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.000492 maxTurn=0.006586 radialBins=[r<0.5R:0.00101@1256,0.5R-1R:0.000001@556,1R-2R:0@768,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","02d14ec605fa8ee828af95a2125a98a6f45e9b5af3fa5dd3c3517dc53471665a","logs\photon_band_sweep_grin_narrower_band.log","logs\photon_band_sweep_grin_narrower_band.err.log"
"GRIN_Optical","wider_band","ON","1","2.2","0.03","4","0.25","0.141421","0","transportModel=GRIN_Optical metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.000527 maxTurn=0.006557 radialBins=[r<0.5R:0.001083@1256,0.5R-1R:0.000001@556,1R-2R:0@768,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","6ceadcad801bb15d0c4322b86594753dea63e4dd0091bd7364d15f63d1e34695","logs\photon_band_sweep_grin_wider_band.log","logs\photon_band_sweep_grin_wider_band.err.log"
"GRIN_Optical","lower_amp","ON","1.305","1.845","0.015","4","0.25","0.141421","0","transportModel=GRIN_Optical metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.00049 maxTurn=0.006587 radialBins=[r<0.5R:0.001006@1256,0.5R-1R:0.000001@556,1R-2R:0@768,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","084ac8f15a486e16aaae656ccedf2ad536f4229cb122e8dcd119719d4f8074aa","logs\photon_band_sweep_grin_lower_amp.log","logs\photon_band_sweep_grin_lower_amp.err.log"
"GRIN_Optical","higher_amp","ON","1.305","1.845","0.06","4","0.25","0.141421","0","transportModel=GRIN_Optical metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.000522 maxTurn=0.006562 radialBins=[r<0.5R:0.001072@1256,0.5R-1R:0.000001@556,1R-2R:0@768,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","fe2277480fc71e5f3efe2e194762c5db8b02e3d4b5a83134cca618cfdfee9c58","logs\photon_band_sweep_grin_higher_amp.log","logs\photon_band_sweep_grin_higher_amp.err.log"
"GRIN_Optical","inner_shifted","ON","1.6","1.845","0.03","4","0.25","0.141421","0","transportModel=GRIN_Optical metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.000488 maxTurn=0.006588 radialBins=[r<0.5R:0.001002@1256,0.5R-1R:0.000001@556,1R-2R:0@768,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","6115f3b7adcef1dc0d0752e5224b4c29d844730614e7cdf8cf09454cc4e42494","logs\photon_band_sweep_grin_inner_shifted.log","logs\photon_band_sweep_grin_inner_shifted.err.log"
"GRIN_Optical","outer_shifted","ON","1.305","2.2","0.03","4","0.25","0.141421","0","transportModel=GRIN_Optical metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.000511 maxTurn=0.006568 radialBins=[r<0.5R:0.00105@1256,0.5R-1R:0.000001@556,1R-2R:0@768,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","f94284ad4b53a0458c964ce651773d06d10423eaae2d309ebc225fe9f0495035","logs\photon_band_sweep_grin_outer_shifted.log","logs\photon_band_sweep_grin_outer_shifted.err.log"
"Metric_NullGeodesic","baseline","ON","1.305","1.845","0.03","4","0.25","0.141421","0","transportModel=Metric_NullGeodesic metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.010719 maxTurn=0.024177 radialBins=[r<0.5R:0.001618@1252,0.5R-1R:0.014293@600,1R-2R:0.023497@724,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","ac53b9d6d1e57799a6bd9d05295aed2c0547ea8b83d08a32e77c0a14de583735","logs\photon_band_sweep_metric_baseline.log","logs\photon_band_sweep_metric_baseline.err.log"
"Metric_NullGeodesic","narrower_band","ON","1.305","1.6","0.03","4","0.25","0.141421","0","transportModel=Metric_NullGeodesic metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.010719 maxTurn=0.024177 radialBins=[r<0.5R:0.001618@1252,0.5R-1R:0.014293@600,1R-2R:0.023497@724,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","20f1fa737686498642993089ddd8e9c6d7bb6dd55d767f38b3fced7655c519bb","logs\photon_band_sweep_metric_narrower_band.log","logs\photon_band_sweep_metric_narrower_band.err.log"
"Metric_NullGeodesic","wider_band","ON","1","2.2","0.03","4","0.25","0.141421","0","transportModel=Metric_NullGeodesic metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.010719 maxTurn=0.024177 radialBins=[r<0.5R:0.001618@1252,0.5R-1R:0.014293@600,1R-2R:0.023497@724,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","7237dae4a9f5b6cb2e51e44b9c552fc47589d2722bd0dba46164ff403253c1e2","logs\photon_band_sweep_metric_wider_band.log","logs\photon_band_sweep_metric_wider_band.err.log"
"Metric_NullGeodesic","lower_amp","ON","1.305","1.845","0.015","4","0.25","0.141421","0","transportModel=Metric_NullGeodesic metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.010719 maxTurn=0.024177 radialBins=[r<0.5R:0.001618@1252,0.5R-1R:0.014293@600,1R-2R:0.023497@724,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","42ccf38bfe2f39bf778ef5b0d8f0531430dded94901268c51d17abe8ddb0af3b","logs\photon_band_sweep_metric_lower_amp.log","logs\photon_band_sweep_metric_lower_amp.err.log"
"Metric_NullGeodesic","higher_amp","ON","1.305","1.845","0.06","4","0.25","0.141421","0","transportModel=Metric_NullGeodesic metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.010719 maxTurn=0.024177 radialBins=[r<0.5R:0.001618@1252,0.5R-1R:0.014293@600,1R-2R:0.023497@724,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","1bf8f3124f6c881ae966d444960b95173d5a76721faac550962ab13567fbddda","logs\photon_band_sweep_metric_higher_amp.log","logs\photon_band_sweep_metric_higher_amp.err.log"
"Metric_NullGeodesic","inner_shifted","ON","1.6","1.845","0.03","4","0.25","0.141421","0","transportModel=Metric_NullGeodesic metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.010719 maxTurn=0.024177 radialBins=[r<0.5R:0.001618@1252,0.5R-1R:0.014293@600,1R-2R:0.023497@724,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","1a6b395afe71931d99cdd7039985ff3ccfec108547391a4656869dcdf3080a1b","logs\photon_band_sweep_metric_inner_shifted.log","logs\photon_band_sweep_metric_inner_shifted.err.log"
"Metric_NullGeodesic","outer_shifted","ON","1.305","2.2","0.03","4","0.25","0.141421","0","transportModel=Metric_NullGeodesic metricLaw=MetricLaw_CurrentEnvelope meanTurn=0.010719 maxTurn=0.024177 radialBins=[r<0.5R:0.001618@1252,0.5R-1R:0.014293@600,1R-2R:0.023497@724,2R-4R:0@0,4R-8R:0@0,r>=8R:0@0]","2eddc1221febe1ebf1552ef8c4b2aa2c09156e69fa3bd0279b612cac3a6a9bc6","logs\photon_band_sweep_metric_outer_shifted.log","logs\photon_band_sweep_metric_outer_shifted.err.log"
