step,geomPrune,geomTrusted,geomHealthPartial,geomPruneSwitched,geomTrustReason,geomRayTestsPerPxOn,geomRayTestsPerPxOff,geomRayTestsSavedPct,geomCandAvg,cand0,cand1to2,cand3to8,cand9to32,cand33p,geomSegZeroRatePct,geomPixNoCandRatePct
30,on,1,0,0,ok,51.502,,,9.675,0,0,127,165,0,0.00,0.00
60,on,1,0,0,ok,21.477,,,12.296,0,0,13,142,0,0.00,0.00
90,on,1,0,0,ok,20.857,,,12.512,0,0,11,145,0,0.00,0.00
120,on,1,0,0,ok,20.269,,,12.251,0,0,9,144,0,0.00,0.00
150,on,1,0,0,ok,23.387,,,9.329,0,0,78,94,0,0.20,0.00
180,on,1,0,0,ok,23.723,,,11.895,0,0,28,155,0,0.00,0.00
210,on,1,0,0,ok,25.897,,,12.482,0,0,24,174,0,0.00,0.00
240,on,1,0,0,ok,25.482,,,8.328,7,0,103,87,0,5.51,0.00
270,on,1,0,0,ok,26.768,,,7.954,13,0,114,89,0,5.80,0.00
300,on,1,0,0,ok,26.92,,,9.94,0,0,81,125,0,0.00,0.00
330,on,1,0,0,ok,15.266,,,10.033,0,0,89,135,0,0.00,0.00
360,on,1,0,0,ok,20.67,,,9.596,0,0,105,113,0,0.00,0.00
390,on,1,0,0,ok,21.4,,,7.954,0,0,116,81,0,0.00,0.00
420,on,1,0,0,ok,25.811,,,7.822,0,0,130,106,0,0.00,0.00
450,on,1,0,0,ok,46.561,,,7.745,0,0,131,88,0,0.00,0.00
480,on,1,0,0,ok,48.54,,,10.687,0,0,65,154,0,0.00,0.00
510,off,0,1,1,mode_switch,,,,,,,,,,,
540,off,1,0,0,ok,,53.673,,,,,,,,,
570,off,1,0,0,ok,,44.964,,,,,,,,,
600,off,1,0,0,ok,,38.176,,,,,,,,,
630,off,1,0,0,ok,,40.211,,,,,,,,,
660,on,0,1,1,mode_switch,,,,,,,,,,,
690,on,1,0,0,ok,18.639,54.257,65.65,12.821,0,0,9,97,0,0.00,0.00
720,on,1,0,0,ok,13.182,54.257,75.7,13.329,0,0,6,84,0,0.00,0.00
750,on,1,0,0,ok,16.669,54.257,69.28,12.957,0,0,10,94,0,0.00,0.00
780,on,1,0,0,ok,21.929,54.257,59.58,13.163,0,0,2,173,0,0.00,0.00
810,on,1,0,0,ok,20.175,54.257,62.81,13.02,0,0,1,182,0,0.00,0.00
840,on,1,0,0,ok,16.477,54.257,69.63,13.37,0,0,0,166,0,0.00,0.00
870,on,1,0,0,ok,14.975,54.257,72.4,12.299,0,0,17,134,0,0.00,0.00
